budget,budget_adjusted,runtime,num_companies,num_genres,director_film_count,director_collab_count,actor_hist_roi,company_hist_roi,monthly_franchise_density,is_major_studio,is_us_production,has_homepage,is_summer,is_holiday,is_franchise,has_director_history,genre_Action,genre_Adventure,genre_Animation,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Horror,genre_Science Fiction,kw_independent_film,kw_sequel,hit,release_year,release_month
385907,385907.0,178.0,2,1,0,0,1.742166937431531,1.742166937431531,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1916,9.0
245000,245000.0,151.0,1,3,0,0,1.742166937431531,1.742166937431531,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1925,11.0
92620000,92620000.0,153.0,2,2,0,0,1.742166937431531,1.742166937431531,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1927,1.0
379000,379000.0,100.0,1,3,0,0,1.742166937431531,2.828754348415889,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1929,2.0
3950000,3950000.0,127.0,1,3,0,0,1.742166937431531,1.742166937431531,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1930,11.0
4,4.0,89.0,1,3,0,0,1.742166937431531,1.5945115821443352,0.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1932,12.0
439000,439000.0,89.0,1,3,0,0,1.742166937431531,1.742166937431531,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1933,2.0
200000,200000.0,77.0,1,1,0,0,1.742166937431531,1.6597381047974136,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1933,2.0
325000,325000.0,105.0,1,2,0,0,1.742166937431531,1.742166937431531,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1934,2.0
609000,609000.0,101.0,1,3,0,0,1.742166937431531,1.742166937431531,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,9.0
1200000,1200000.0,115.0,1,4,0,0,1.742166937431531,1.7562593056509113,0.0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1936,10.0
1,1.0,87.0,2,2,0,0,1.742166937431531,1.742166937431531,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1936,2.0
1488423,1488423.0,83.0,1,3,0,0,1.742166937431531,1.742166937431531,0.0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1937,12.0
2000000,2000000.0,106.0,1,3,0,0,1.742166937431531,1.742166937431531,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1938,5.0
1644736,1644735.9999999998,126.0,1,2,1,0,1.742166937431531,1.742166937431531,0.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1938,8.0
4000000,4000000.0,178.0,2,3,0,0,1.8053828716419675,2.790681868308273,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1939,12.0
1500000,1500000.0,129.0,1,2,2,1,1.738455353022568,1.7365943820557557,0.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1939,10.0
2777000,2777000.0,102.0,1,3,1,0,1.742166937431531,1.742166937431531,0.0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1939,8.0
2280000,2280000.0,124.0,1,3,1,0,1.742166937431531,1.742166937431531,0.0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1940,11.0
1288000,1288000.0,130.0,1,2,0,0,1.742166937431531,2.828754348415889,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1940,4.0
2600000,2600000.0,88.0,2,2,0,0,1.742166937431531,2.828754348415889,0.0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1940,2.0
2000000,2000000.0,119.0,1,3,0,0,2.2881353790972114,3.1518946304051427,0.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1940,8.0
1250000,1250000.0,118.0,1,1,0,0,1.742166937431531,1.6597669863719622,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1941,10.0
878000,878000.0,102.0,1,2,1,0,1.742166937431531,1.6923182451545535,0.0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1942,11.0
858000,858000.0,77.0,1,3,2,0,1.742166937431531,2.9591369877490057,0.0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1942,8.0
2361000,2361000.0,101.0,1,2,0,0,1.742166937431531,2.9738447286455827,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944,7.0
2627000,2627000.0,120.0,1,3,2,0,1.740962583000479,3.063539185543029,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1944,3.0
1500000,1500000.0,111.0,1,3,1,1,1.8099379673075304,2.728828822988867,0.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1945,12.0
1250000,1250000.0,101.0,1,1,0,0,1.742166937431531,1.742166937431531,0.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1945,11.0
2160000,2160000.0,119.0,1,1,0,0,1.741748109023862,2.8983657406131726,0.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1945,6.0
3180000,3180000.0,130.0,2,3,3,0,1.752767586516727,2.27696525510072,0.0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1946,12.0
2100000,2100000.0,172.0,1,3,0,0,1.742166937431531,1.742166937431531,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1946,12.0
6000000,6000000.0,144.0,2,1,1,0,1.7377791407259715,1.742166937431531,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1946,12.0
2000000,2000000.0,118.0,1,2,0,0,1.7286880117705072,1.6743829485228654,0.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1947,11.0
3700000,3700000.0,102.0,1,2,0,0,1.812107841680889,2.837209904607309,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,6.0
3000000,3000000.0,133.0,3,1,0,0,1.742166937431531,2.828754348415889,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,8.0
1600000,1600000.0,103.0,1,1,1,0,1.7371051691584871,2.2008587015610326,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1949,10.0
1000000,1000000.0,100.0,1,4,0,0,1.7121373056981646,1.742166937431531,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1949,12.0
3768785,3768785.0,107.0,1,5,1,0,1.742166937431531,2.765911907988102,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1950,5.0
1800000,1800000.0,125.0,2,1,1,0,2.245795000127237,1.8512206648174268,0.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1951,9.0
8250000,8250000.0,171.0,1,3,0,0,1.742166937431531,2.6650088816063566,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1951,11.0
2300000,2300000.0,107.0,1,2,2,1,1.7166731111956213,2.7068044190563687,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1951,7.0
730000,730000.0,85.0,2,1,0,0,1.7570428740071111,2.7132764722666893,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,3.0
4000000,4000000.0,152.0,1,3,0,0,1.7166731111956213,1.8084021962141168,0.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1952,1.0
2540800,2540800.0,103.0,1,3,0,0,1.7033720250802704,2.621754572412259,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,4.0
1650000,1650000.0,118.0,1,3,1,1,1.7147544787435065,1.9785770800608709,0.0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1953,8.0
210000,210000.0,80.0,1,3,0,0,1.742166937431531,1.742166937431531,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1953,6.0
4100000,4100000.0,135.0,1,1,0,0,1.742166937431531,1.7157682172279562,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1953,9.0
1250000,1250000.0,92.0,1,3,0,0,1.7293416028077926,1.664127615685692,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1953,1.0
2000000,2000000.0,178.0,1,2,0,0,1.742166937431531,1.742166937431531,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1954,4.0
5000000,5000000.0,139.0,1,2,2,0,1.8184033578263368,1.7889054133083158,0.0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1954,8.0
5000000,5000000.0,127.0,1,3,0,0,1.742166937431531,3.2579376496989227,0.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1954,12.0
910000,910000.0,108.0,2,2,2,0,1.7395826322452264,1.7790080548474352,0.0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1954,6.0
1200000,1200000.0,99.0,2,3,2,0,1.742166937431531,1.877011413539208,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1955,10.0
1000000,1000000.0,89.0,1,5,0,0,1.742166937431531,1.75831237197696,0.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1956,11.0
4000000,4000000.0,105.0,1,1,0,0,1.8679468281378944,1.742166937431531,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1956,5.0
4500000,4500000.0,116.0,2,2,0,0,1.714182209593008,1.8349811459270529,0.0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1956,6.0
3000000,3000000.0,161.0,2,3,0,0,1.742166937431531,2.1953102908247417,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1957,10.0
350000,350000.0,96.0,2,1,0,0,1.742166937431531,2.6870742277447834,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1957,3.0
3000000,3000000.0,108.0,2,2,0,0,1.742166937431531,2.578393752310204,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1958,2.0
3500000,3500000.0,149.0,1,1,2,0,1.742166937431531,1.7866842004856045,0.0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1959,6.0
2883848,2883848.0,122.0,2,2,1,0,1.7516629206649736,1.742166937431531,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1959,3.0
5000000,5000000.0,139.0,1,4,2,0,1.7308058885160984,1.742166937431531,0.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1959,12.0
3000000,3000000.0,146.0,1,1,1,0,1.8602357659090083,2.570316277852856,0.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1960,6.0
3000000,3000000.0,125.0,2,3,2,0,1.7904395958312125,2.6015881894786754,0.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1960,6.0
806948,806947.9999999999,109.0,3,3,3,0,1.742166937431531,1.8815829395168489,0.0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1960,6.0
3000000,3000000.0,178.0,2,2,0,0,1.8005024705197237,2.422024048623215,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1961,12.0
6000000,6000000.0,152.0,3,3,0,0,1.742166937431531,2.5086101696969934,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1961,10.0
4000000,4000000.0,124.0,2,3,1,0,2.277442617540002,2.4810267641502333,0.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1961,1.0
2900000,2900000.0,136.0,1,2,4,0,1.742166937431531,1.742166937431531,0.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1961,12.0
2000000,2000000.0,134.0,2,1,0,0,1.7532661538537724,1.8168449691478232,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1961,9.0
10000000,10000000.0,178.0,2,4,0,0,1.742166937431531,1.799791240608621,0.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1962,9.0
3200000,3200000.0,123.0,2,1,2,0,2.034162123037206,2.2683178943472644,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1962,4.0
2000000,2000000.0,153.0,3,2,0,0,1.7511780333552165,1.742166937431531,0.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1962,6.0
2000000,2000000.0,129.0,1,2,0,0,1.712283992179502,2.445300700411275,0.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1962,12.0
950000,950000.0,110.0,2,3,0,0,1.742166937431531,2.377067617087396,0.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1962,10.0
15000000,15000000.0,178.0,1,4,1,0,1.8024882293395723,1.9132027849571305,0.0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1962,12.0
4000000,4000000.0,172.0,2,5,0,0,1.742166937431531,2.768721633035894,0.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1963,6.0
1000000,1000000.0,128.0,1,4,0,0,1.742166937431531,1.742166937431531,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1963,10.0
31115000,31115000.0,178.0,3,3,0,0,1.7916900593832743,1.799337832914131,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1963,6.0
9400000,9400000.0,163.0,2,4,1,1,1.7112765839112964,2.72341413617407,0.0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1963,11.0
2000000,2000000.0,115.0,3,3,1,1,2.189800707157458,2.733125993190713,0.0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1963,10.0
2500000,2500000.0,112.0,1,3,0,0,1.744144647223697,2.213703422454106,0.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1963,5.0
17000000,17000000.0,154.0,2,3,0,0,1.7837445672164804,1.742166937431531,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1963,5.0
2686000,2686000.0,109.0,1,3,3,1,1.728057863245742,2.178193867240904,0.0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1963,6.0
6000000,6000000.0,139.0,1,3,0,0,1.742166937431531,3.171583656129891,0.0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1964,8.0
17000000,17000000.0,170.0,1,4,0,0,1.7077158256474634,1.7664944675811332,0.0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1964,10.0
5800000,5800000.0,133.0,3,4,0,0,1.805297100699088,1.742166937431531,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1964,9.0
560000,560000.0,88.0,3,2,0,0,1.742166937431531,1.742166937431531,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,7.0
1800000,1800000.0,95.0,2,3,1,0,1.742166937431531,2.237773405318966,1.0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1964,1.0
200000,200000.0,99.0,4,1,0,0,1.742166937431531,2.694368263367528,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,9.0
2500000,2500000.0,110.0,3,3,0,0,2.3152219294332608,2.942442533322896,0.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1964,9.0
19000000,19000000.0,178.0,2,2,0,0,1.7937472408034534,2.133757612123201,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1964,3.0
20000000,20000000.0,178.0,1,2,0,0,1.742166937431531,1.742166937431531,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1965,2.0
5500000,5500000.0,130.0,2,3,2,2,2.4388714514582275,3.1337925644952502,0.0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1965,12.0
8200000,8200000.0,174.0,3,4,1,0,1.8555198979794256,1.7683868724406704,0.0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1965,3.0
11000000,11000000.0,178.0,1,3,2,1,1.742166937431531,2.6066583558877903,0.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1965,12.0
3800000,3800000.0,123.0,2,2,0,0,1.7435739939099195,2.1999875575691386,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1965,4.0
3000000,3000000.0,128.0,1,2,4,0,2.043201627323177,2.394891117660287,0.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1966,7.0
1200000,1200000.0,161.0,4,1,1,0,2.245795000127237,2.9711350779430377,0.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1966,12.0
3900000,3900000.0,120.0,2,2,3,0,1.7071427773748182,2.106911085398728,0.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1966,12.0
3500000,3500000.0,121.0,1,5,0,0,1.7366464633738414,1.757755224668108,0.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1966,2.0
9500000,9500000.0,117.0,1,3,0,0,2.4507935397078464,3.1515914939471923,0.0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1967,6.0
3500000,3500000.0,134.0,2,2,2,0,1.7530405611884208,2.107424252363002,0.0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1967,12.0
2500000,2500000.0,92.0,2,4,0,0,1.720006139657429,2.597822038078529,0.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1967,8.0
950000,950000.0,103.0,2,3,0,0,1.742166937431531,1.742166937431531,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1968,9.0
10500000,10500000.0,149.0,2,3,2,0,1.742166937431531,2.557481722399471,1.0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1968,4.0
114000,114000.0,96.0,4,1,0,0,1.742166937431531,1.742166937431531,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1968,10.0
5000000,5000000.0,175.0,3,1,2,1,1.7239770451897136,2.1021330375958005,0.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1968,12.0
1800000,1800000.0,114.0,1,1,0,0,2.189160569967554,2.937601471408549,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,7.0
3200000,3200000.0,136.0,2,3,0,0,1.742166937431531,2.075279939089009,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1968,6.0
10000000,10000000.0,153.0,3,3,1,0,1.742166937431531,2.0712171758034783,0.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1968,9.0
9000000,9000000.0,98.0,3,1,0,0,1.742166937431531,2.05715095405255,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1968,10.0
1455000,1455000.0,113.0,3,1,0,0,2.4508597278739,1.742166937431531,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,11.0
100000,100000.0,77.0,0,1,0,0,1.742166937431531,1.742166937431531,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,7.0
6244087,6244087.0,145.0,1,2,1,0,1.8024882293395723,1.742166937431531,0.0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1969,6.0
8000000,8000000.0,149.0,1,4,0,0,1.780995522859087,2.2407375907841303,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1969,1.0
4000000,4000000.0,143.0,1,4,5,0,1.742166937431531,2.3285252258941203,0.0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1969,12.0
6500000,6500000.0,142.0,3,3,0,0,1.742166937431531,3.105056824668836,0.0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1969,12.0
3600000,3600000.0,113.0,3,1,0,0,1.742166937431531,2.903065890556313,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1969,5.0
6000000,6000000.0,110.0,3,4,0,0,1.729654986743657,2.0462808762506866,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1969,9.0
20000000,20000000.0,158.0,3,5,0,0,2.106089805719861,2.009553890443685,0.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1969,10.0
18000000,18000000.0,121.0,2,3,0,0,1.7239770451897136,1.8912873961336487,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1970,6.0
3716946,3716946.0,121.0,1,3,2,1,1.7152043054079813,2.2477512603777767,0.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1970,5.0
600000,600000.0,178.0,2,3,0,0,1.742166937431531,1.742166937431531,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1970,3.0
25000000,25000000.0,128.0,3,3,0,0,1.9997452030777465,1.9319831476537712,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1970,10.0
11000000,11000000.0,124.0,2,2,1,1,2.340907187030544,1.974546811445657,0.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1970,1.0
3000000,3000000.0,95.0,2,3,1,0,1.7395826322452264,2.156492220850862,0.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1970,5.0
25485000,25485000.0,144.0,1,5,1,0,1.704800633234879,2.121743765714984,0.0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1970,1.0
12000000,12000000.0,172.0,1,3,0,0,1.8023447985588048,2.1488973766565755,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1970,1.0
2090000,2090000.0,109.0,1,3,0,0,1.742166937431531,2.0796912303555675,0.0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1970,7.0
